code,district,department,municipality,school_name,address,phone,supervisor,director,sector,area,status,teaching_mode,schedule,plan,departmental
16-01-0138-46,16-031,Alta Verapaz,Coban,Colegio Coban,Sin especificar,['7794-5104'],Mercedes Josefina Torres Galvez,Gustavo Adolfo Sierra Pop,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Verapaz
16-01-0139-46,16-031,Alta Verapaz,Coban,Colegio Particular Mixto Verapaz,Sin especificar,['7736-7402'],Mercedes Josefina Torres Galvez,Gilma Dolores Guay Paz De Leal,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Verapaz
16-01-0140-46,16-031,Alta Verapaz,Coban,Colegio La Inmaculada,6 Avenida 6-11 Zona 1,['7823-2301'],Mercedes Josefina Torres Galvez,Virginia Solano Serrano,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Verapaz
16-01-0141-46,16-005,Alta Verapaz,Coban,Escuela De Ciencias Comerciales Nocturna,11 Calle 11-28 Zona 1,['7951-4215'],Rudy Adolfo Tot Och,Hector Rolando Chun Poou,Oficial,Urbana,Abierta,Monolingue,Matutina,Diario,Verapaz
16-01-0142-46,16-005,Alta Verapaz,Coban,Instituto Normal Mixto Del Norte Emilio Rosales Ponce,6 Avenida 1-22 Zona 1,['7952-1468'],Rudy Adolfo Tot Och,Victor Hugo Dominguez Reyes,Oficial,Urbana,Abierta,Bilingue,Vespertina,Diario,Verapaz
16-01-0143-46,16-031,Alta Verapaz,Coban,Colegio Particular Mixto Imperial,Sin especificar,['5710-1061'],Mercedes Josefina Torres Galvez,Hector Waldemar Tot Coy,Privado,Urbana,Abierta,Monolingue,Doble,Fin de semana,Verapaz
16-01-0145-46,16-006,Alta Verapaz,Coban,Instituto De Turismo Y Aviacion Del Norte Itan,3 Avenida 5-28 Zona 4,['5464-1454'],Efrain Caal Cuc,Luis Fernando Soto,Privado,Urbana,Cerrada Temporalmente,Monolingue,Matutina,Diario,Verapaz
16-01-0147-46,16-031,Alta Verapaz,Coban,Colegio La Inmaculada,7 Calle 11-09 Zona 6,['4953-2425'],Mercedes Josefina Torres Galvez,Rosa Maria Zamora Gonzalez,Privado,Rural,Cerrada Temporalmente,Monolingue,Doble,Diario,Verapaz
16-01-0150-46,16-006,Alta Verapaz,Coban,Instituto Intercultrual Altaverapacencese Iiav,6 Avenida 1-22 Zona 1,Sin especificar,Efrain Caal Cuc,Guillermo Estuardo Vasquez Morales,Privado,Urbana,Cerrada Temporalmente,Bilingue,Doble,Fin de semana,Verapaz
16-01-0155-46,16-031,Alta Verapaz,Coban,Liceo Moderno Latino,4 Avenida 11-52 Zona 12,['7952-2555'],Mercedes Josefina Torres Galvez,Hector Armando Teyul Chen,Privado,Urbana,Abierta,Monolingue,Doble,Fin de semana,Verapaz
16-01-0428-46,16-005,Alta Verapaz,Coban,Instituto Nacional De Educacion Diversificada Xekupilaj,Sin especificar,['7994-5251'],Rudy Adolfo Tot Och,Helson Marco Chen Gutierrez,Oficial,Rural,Abierta,Monolingue,Vespertina,Diario,Verapaz
16-01-0471-46,16-031,Alta Verapaz,Coban,Colegio De Informatica Ceninfav,1 Avenida 12-01 Zona 1,['7954-5566'],Mercedes Josefina Torres Galvez,Maria Magdalena Bol Cu,Privado,Urbana,Abierta,Monolingue,Vespertina,Diario,Verapaz
16-01-0478-46,16-031,Alta Verapaz,Coban,Colelgio Evangelico La Patria,Sin especificar,['7951-4440'],Mercedes Josefina Torres Galvez,Aura Eunice Soto Fonseca,Privado,Urbana,Cerrada Temporalmente,Monolingue,Matutina,Diario,Verapaz
16-01-0481-46,16-031,Alta Verapaz,Coban,Liceo Americano Del Norte,5 Calle 2-44 Zona 2,['7951-4754'],Mercedes Josefina Torres Galvez,Jose Cupertino Reyes Garcia,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Verapaz
16-01-0483-46,16-031,Alta Verapaz,Coban,Liceo Americano Del Norte,5 Calle 2-44 Zona 2,['7951-4754'],Mercedes Josefina Torres Galvez,Jose Cupertino Reyes Garcia,Privado,Urbana,Abierta,Monolingue,Doble,Fin de semana,Verapaz
16-01-0557-46,16-031,Alta Verapaz,Coban,Colegio La Libertad,3 Avenida 5-28 Zona 4,['7952-3696'],Mercedes Josefina Torres Galvez,Erick Fernando Choc Garcia,Privado,Urbana,Cerrada Temporalmente,Monolingue,Doble,Fin de semana,Verapaz
16-01-0558-46,16-005,Alta Verapaz,Coban,Instituto Normal Preprimaria Bilingue Adscrito Al Instituto Normal Mixto Del Norte Emilio Rosales Ponce,6 Avenida 1-22 Zona 1,['7952-1468'],Rudy Adolfo Tot Och,Victor Hugo Dominguez Reyes,Oficial,Urbana,Abierta,Monolingue,Vespertina,Diario,Verapaz
16-01-0559-46,16-005,Alta Verapaz,Coban,Instituto Normal Primaria Bilingue Intercultural Ads Al Instituto Emilio Rosales Ponce,6 Avenida 1-22 Zona 1,['7952-1468'],Rudy Adolfo Tot Och,Victor Hugo Dominguez Reyes,Oficial,Urbana,Abierta,Monolingue,Vespertina,Diario,Verapaz
16-01-0563-46,16-031,Alta Verapaz,Coban,Centro De Formacion Integral Las Conchas Fmg,Sin especificar,['7952-2793'],Mercedes Josefina Torres Galvez,David Waldemar Urrutia Choc,Privado,Rural,Abierta,Monolingue,Vespertina,Diario,Verapaz
16-01-0565-46,16-031,Alta Verapaz,Coban,Instituto Mixto Privado Salud Y Desarrollo,Sin especificar,['5192-2050'],Mercedes Josefina Torres Galvez,Samantha Gabriela De La Cruz Morales,Privado,Urbana,Abierta,Monolingue,Doble,Fin de semana,Verapaz
16-01-0568-46,16-031,Alta Verapaz,Coban,Instituto Privado Raul Chenal Heinemann,5 Calle 3-08 Zona 1,['7951-0413'],Mercedes Josefina Torres Galvez,Silvia Beatriz Soto Chen,Privado,Urbana,Abierta,Monolingue,Nocturna,Diario,Verapaz
16-01-0570-46,16-031,Alta Verapaz,Coban,Liceo Miguel Angel Asturias,Sin especificar,['7951-1103'],Mercedes Josefina Torres Galvez,Jayron Ariel Coy Cacao,Privado,Urbana,Cerrada Temporalmente,Monolingue,Doble,Fin de semana,Verapaz
16-01-0572-46,16-031,Alta Verapaz,Coban,Liceo Miguel Angel Asturias,Sin especificar,['7951-1103'],Mercedes Josefina Torres Galvez,Jayron Ariel Coy Cacao,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Verapaz
16-01-0573-46,16-031,Alta Verapaz,Coban,Colegio Cristiano Bilingue Verbo,Sin especificar,['7794-5181'],Mercedes Josefina Torres Galvez,Lesly Eugenia Chocooj Vidaurre,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Verapaz
16-01-0574-46,16-005,Alta Verapaz,Coban,Escuela De Ciencias Comerciales Nocturna,11 Calle 11-28 Zona 1,['5353-0198'],Rudy Adolfo Tot Och,Ervin Orlando Juarez Sam,Oficial,Urbana,Abierta,Monolingue,Vespertina,Diario,Verapaz
16-01-0583-46,16-031,Alta Verapaz,Coban,Colegio Nuevos Senderos,3 Calle 3-73 Zona 3,['7941-7300'],Mercedes Josefina Torres Galvez,Zoyla Argentina Mollinedo Alvarado,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Verapaz
